,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
3453,polls-plus,Florida,2016-05-17 00:00:00,2016-05-18 00:00:00,Gravis Marketing,2542.0,46.0,42.0,44144,2016-05-17 12:00:00,143.5,29.0,1067.0
3462,polls-plus,Florida,2016-04-25 00:00:00,2016-04-27 00:00:00,Associated Industries of Florida,604.0,49.0,36.0,44009,2016-04-26 00:00:00,165.0,29.0,217.0
3501,polls-plus,Florida,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,1288.0,32.6,40.5,45549,2016-08-20 00:00:00,49.0,29.0,521.0
3568,polls-plus,Florida,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,1341.0,34.5,38.4,45599,2016-08-13 00:00:00,56.0,29.0,514.0
3632,polls-plus,Florida,2016-03-02 00:00:00,2016-03-06 00:00:00,CNN/Opinion Research Corp.,854.0,50.0,43.0,36569,2016-03-04 00:00:00,218.0,29.0,367.0
3679,polls-plus,Florida,2016-01-30 00:00:00,2016-02-06 00:00:00,Florida Southern College,608.0,45.0,38.0,36063,2016-02-02 12:00:00,248.5,29.0,231.0
3759,polls-plus,Florida,2016-03-13 00:00:00,2016-03-17 00:00:00,Saint Leo University,540.0,51.7,34.2,44921,2016-03-15 00:00:00,207.0,29.0,184.0
3829,polls-plus,Florida,2016-01-15 00:00:00,2016-01-18 00:00:00,Florida Atlantic University,1008.0,44.0,47.0,35889,2016-01-16 12:00:00,265.5,29.0,473.0
3952,polls-plus,Florida,2015-11-15 00:00:00,2015-11-16 00:00:00,Florida Atlantic University,829.0,41.0,49.0,35385,2015-11-15 12:00:00,327.5,29.0,406.0
3960,polls-plus,Florida,2015-11-29 00:00:00,2015-12-03 00:00:00,Saint Leo University,404.0,49.0,41.0,35434,2015-12-01 00:00:00,312.0,29.0,165.0
4055,polls-plus,Florida,2016-08-29 00:00:00,2016-09-07 00:00:00,Quinnipiac University,761.0,43.0,43.0,45431,2016-09-02 12:00:00,35.5,29.0,327.0
4095,polls-plus,Florida,2016-09-27 00:00:00,2016-10-02 00:00:00,Quinnipiac University,545.0,46.0,41.0,46381,2016-09-29 12:00:00,8.5,29.0,223.0
4098,polls-plus,Florida,2016-08-04 00:00:00,2016-08-10 00:00:00,Marist College,862.0,41.0,36.0,44837,2016-08-07 00:00:00,62.0,29.0,310.0
4100,polls-plus,Florida,2016-05-16 00:00:00,2016-05-19 00:00:00,YouGov,995.0,43.0,42.0,44114,2016-05-17 12:00:00,143.5,29.0,417.0
4111,polls-plus,Florida,2016-03-04 00:00:00,2016-03-06 00:00:00,SurveyUSA,1961.0,44.0,45.0,36558,2016-03-05 00:00:00,217.0,29.0,882.0
4122,polls-plus,Florida,2016-06-30 00:00:00,2016-07-11 00:00:00,Quinnipiac University,1015.0,36.0,41.0,44568,2016-07-05 12:00:00,94.5,29.0,416.0
4132,polls-plus,Florida,2016-04-27 00:00:00,2016-05-08 00:00:00,Quinnipiac University,1051.0,43.0,42.0,44037,2016-05-02 12:00:00,158.5,29.0,441.0
4134,polls-plus,Florida,2016-08-05 00:00:00,2016-08-07 00:00:00,Public Policy Polling,938.0,46.0,43.0,44828,2016-08-06 00:00:00,63.0,29.0,403.0
4144,polls-plus,Florida,2016-03-04 00:00:00,2016-03-10 00:00:00,Marist College,2422.0,49.0,41.0,36596,2016-03-07 00:00:00,215.0,29.0,993.0
4162,polls-plus,Florida,2016-02-24 00:00:00,2016-02-25 00:00:00,Public Policy Polling,1012.0,44.0,46.0,36471,2016-02-24 12:00:00,226.5,29.0,465.0
4174,polls-plus,Florida,2016-07-05 00:00:00,2016-07-11 00:00:00,Marist College,871.0,41.0,36.0,44589,2016-07-08 00:00:00,92.0,29.0,313.0
4180,polls-plus,Florida,2016-06-02 00:00:00,2016-06-05 00:00:00,Public Policy Polling,737.0,40.0,41.0,44201,2016-06-03 12:00:00,126.5,29.0,302.0
4190,polls-plus,Florida,2016-06-08 00:00:00,2016-06-19 00:00:00,Quinnipiac University,975.0,42.0,36.0,44375,2016-06-13 12:00:00,116.5,29.0,351.0
4197,polls-plus,Florida,2016-07-30 00:00:00,2016-08-07 00:00:00,Quinnipiac University,1056.0,43.0,43.0,44806,2016-08-03 00:00:00,66.0,29.0,454.0
